case,N,P,nodes,io_avg,comm_avg,comp_avg,total_wall,iterations
hw1,64123483,1,1,0.582073,0.000035,35.886895,36.703046,1
hw1,64123483,2,1,0.577450,0.405368,19.105597,20.302299,2
hw1,64123483,3,1,0.513346,1.101956,13.463456,15.214747,3
hw1,64123483,4,1,0.482385,0.908636,10.252524,11.756947,3
hw1,64123483,5,1,0.524331,0.941358,8.773956,10.338479,4
hw1,64123483,6,1,0.500443,0.815488,7.474326,8.864483,4
hw1,64123483,7,1,0.529319,0.782848,6.820357,8.202457,5
hw1,64123483,8,1,0.497601,0.755032,6.035575,7.355967,5
hw1,64123483,9,1,0.543852,0.800853,5.786129,7.187554,6
hw1,64123483,10,1,0.514693,0.764565,5.269239,6.604502,6
hw1,64123483,11,1,0.587297,0.741491,5.027989,6.410169,7
hw1,64123483,12,1,0.537697,0.774675,4.610259,5.976150,7
