case,N,P,nodes,io_avg,comm_avg,comp_avg,total_wall,iterations
hw1,64123483,1,1,0.475042,0.000037,17.262683,17.970155,1
hw1,64123483,2,1,0.372293,0.208584,11.824709,12.611812,2
hw1,64123483,3,1,0.538909,0.681425,8.353600,9.723063,3
hw1,64123483,4,1,0.538999,0.450070,6.469083,7.572309,3
hw1,64123483,5,1,0.618254,0.701607,5.500111,6.911565,4
hw1,64123483,6,1,0.509582,0.595049,4.721785,5.911501,4
hw1,64123483,7,1,0.538997,0.681598,4.276460,5.569597,5
hw1,64123483,8,1,0.538416,0.691028,3.829767,5.126488,5
hw1,64123483,9,1,0.549118,0.751068,3.620997,4.982676,6
hw1,64123483,10,1,0.559014,0.730399,3.362643,4.710898,6
hw1,64123483,11,1,0.629006,0.956769,3.185742,4.825485,7
hw1,64123483,12,1,0.798058,0.802129,2.930846,4.589616,7
