case,N,P,nodes,io_avg,comm_avg,comp_avg,total_wall,iterations
hw1,64123483,1,1,0.357813,0.000036,35.045262,35.634364,1
hw1,64123483,2,1,0.339508,0.419386,18.680279,19.633825,2
hw1,64123483,3,1,0.886119,1.075999,13.143742,15.245867,3
hw1,64123483,4,1,0.507987,0.885562,10.053582,11.559863,3
hw1,64123483,5,1,1.390835,0.896528,8.619874,11.006232,4
hw1,64123483,6,1,0.511017,0.815381,7.325365,8.728938,4
hw1,64123483,7,1,0.511930,0.811087,6.705697,8.098108,5
hw1,64123483,8,1,0.537249,0.770683,5.943182,7.315084,5
hw1,64123483,9,1,0.532952,0.787154,5.663389,7.042824,6
hw1,64123483,10,1,0.596067,0.755925,5.175747,6.584837,6
hw1,64123483,11,1,0.565916,0.742639,4.942897,6.305834,7
hw1,64123483,12,1,0.569412,0.759517,4.534381,5.917423,7
