thread,core,wall_s,cpu_s,rows,pixels,iters
0,5,31.048922,31.042848,359,2757120,7190647660
1,9,31.048674,31.046160,360,2764800,7218737318
2,0,31.051956,31.047978,360,2764800,7192697301
3,11,31.049955,31.044691,361,2772480,7217528593
4,1,31.049481,31.044471,359,2757120,7190927002
5,7,31.050206,31.048882,361,2772480,7220174119
6,2,31.048754,31.045378,359,2757120,7191765660
7,6,31.048309,31.043225,360,2764800,7218425848
8,4,31.050069,31.047927,360,2764800,7192533878
9,8,31.050614,31.049547,361,2772480,7219917375
10,3,31.049279,31.044289,359,2757120,7191325463
11,10,31.051048,31.045680,361,2772480,7219489938
